Generation,Best_AUC,Avg_AUC,Features_in_Best
1,0.8673,0.8145,17
2,0.8719,0.8358,17
3,0.8719,0.8499,17
4,0.8731,0.8607,20
5,0.8758,0.866,24
6,0.8758,0.8616,24
7,0.8775,0.8681,18
8,0.8814,0.866,23
9,0.8814,0.8685,23
10,0.8814,0.869,23
11,0.8814,0.8723,23
12,0.8814,0.8716,23
13,0.8814,0.8717,23
14,0.8814,0.8759,23
15,0.8814,0.8732,23
16,0.8829,0.8778,24
17,0.8829,0.8771,24
18,0.8829,0.8736,24
19,0.8829,0.8708,24
20,0.8829,0.8769,24
21,0.8829,0.8791,24
22,0.8829,0.8761,24
23,0.8829,0.8751,24
24,0.8829,0.8766,24
25,0.8829,0.8754,24
26,0.8833,0.8749,25
27,0.8833,0.8742,25
28,0.8833,0.8794,25
29,0.8833,0.8751,25
30,0.8833,0.8771,25
